"iso3c","cfr_mid","cfr_low","cfr_high"
1,0.971792800536214,0.81365988948165,1.18470876170315
2,0.977803477529202,0.818110179878572,1.19297074259223
3,1.20969819787998,1.01672872047031,1.46003854011842
4,1.400174924698,1.1792411500967,1.68067357560321
5,1.58120251660305,1.33357490240717,1.89049905241268
6,1.41194695458005,1.18953009591815,1.69366665937661
7,1.44679267858955,1.2194686154977,1.73365260703696
8,1.39845908055984,1.17794342806622,1.67822427584619
9,1.47558127122979,1.24356659330543,1.76815316907781
10,1.34347763568619,1.13058459180382,1.61588205184933
11,1.13482149758689,0.952660393284068,1.37383951582361
12,1.3762376047948,1.15857539806476,1.65328313832609
13,1.30409694476306,1.0966113989631,1.57061421498939
14,1.4787506749354,1.24637014448068,1.77140290897546
15,1.27979933399993,1.07747462571867,1.54002099953576
16,1.57328843885159,1.32745609587598,1.88028680872675
17,1.36170929426836,1.14617841134316,1.63656496040202
